Geographic Area Name,Meaning of NAICS code,Meaning of Sex code,Meaning of Ethnicity code,Meaning of Race code,Meaning of Veteran code,Year,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)",Relative standard error of employer firms (%)
Maryland,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Male,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Manufacturing,Equally male/female,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,Total,Nonveteran,2019,2043,W,36900,1877529,2.9
Maryland,Manufacturing,Female,Non-Hispanic,Total,Nonveteran,2019,442,U,5999,265949,11
Maryland,Manufacturing,Male,Non-Hispanic,Total,Nonveteran,2019,1353,W,27062,1430594,7.7
Maryland,Manufacturing,Equally male/female,Non-Hispanic,Total,Nonveteran,2019,249,T,3840,180985,25.1
Maryland,Manufacturing,Total,Total,White,Nonveteran,2019,1925,W,35427,1802592,3
Maryland,Manufacturing,Female,Total,White,Nonveteran,2019,429,U,5831,264347,13
Maryland,Manufacturing,Male,Total,White,Nonveteran,2019,1259,W,25909,1367559,7.9
Maryland,Manufacturing,Equally male/female,Total,White,Nonveteran,2019,240,T,3687,170687,25.5
Maryland,Manufacturing,Total,Hispanic,White,Nonveteran,2019,44,M,442,18647,17.7
Maryland,Manufacturing,Total,Equally Hispanic/non-Hispanic,White,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,White,Nonveteran,2019,1875,W,34932,1781582,3.2
Maryland,Manufacturing,Total,Total,Black or African American,Nonveteran,2019,43,L,234,7002,26.4
Maryland,Manufacturing,Female,Total,Black or African American,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Male,Total,Black or African American,Nonveteran,2019,20,K,78,2676,45.4
Maryland,Manufacturing,Equally male/female,Total,Black or African American,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Total,Hispanic,Black or African American,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,Black or African American,Nonveteran,2019,40,L,228,6812,28.4
Maryland,Manufacturing,Total,Total,American Indian and Alaska Native,Nonveteran,2019,18,O,141,13436,34.3
Maryland,Manufacturing,Female,Total,American Indian and Alaska Native,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Male,Total,American Indian and Alaska Native,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Manufacturing,Total,Hispanic,American Indian and Alaska Native,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,American Indian and Alaska Native,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Manufacturing,Total,Total,Asian,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Manufacturing,Female,Total,Asian,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Manufacturing,Male,Total,Asian,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Manufacturing,Equally male/female,Total,Asian,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,Asian,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Manufacturing,Total,Total,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Manufacturing,Female,Total,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Manufacturing,Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Manufacturing,Total,Total,Minority,Nonveteran,2019,231,T,2584,124610,10.9
Maryland,Manufacturing,Total,Total,Equally minority/nonminority,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Manufacturing,Total,Total,Nonminority,Nonveteran,2019,1865,W,34809,1773504,3.2
Maryland,Manufacturing,Classifiable,Classifiable,Classifiable,Classifiable,2019,2420,W,42113,2119044,1.5
Maryland,Manufacturing,Unclassifiable,Unclassifiable,Unclassifiable,Unclassifiable,2019,217,W,49058,4004044,13.1
Maryland,Wholesale trade,Total,Total,Total,Total,2019,4334,W,95917,6743336,5.7
Maryland,Wholesale trade,Female,Total,Total,Total,2019,497,U,4576,340789,18.1
Maryland,Wholesale trade,Male,Total,Total,Total,2019,2718,W,43309,2550518,7.9
Maryland,Wholesale trade,Equally male/female,Total,Total,Total,2019,602,U,5082,323096,19.8
Maryland,Wholesale trade,Total,Hispanic,Total,Total,2019,80,T,816,46138,45.7
Maryland,Wholesale trade,Female,Hispanic,Total,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Hispanic,Total,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Wholesale trade,Equally male/female,Hispanic,Total,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Total,Equally Hispanic/non-Hispanic,Total,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Male,Equally Hispanic/non-Hispanic,Total,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,Total,Total,2019,3733,W,52079,3164300,4.3
Maryland,Wholesale trade,Female,Non-Hispanic,Total,Total,2019,486,U,4388,331729,18.2
Maryland,Wholesale trade,Male,Non-Hispanic,Total,Total,2019,2665,W,42818,2525711,8.1
Maryland,Wholesale trade,Equally male/female,Non-Hispanic,Total,Total,2019,584,U,4873,306860,20.8
Maryland,Wholesale trade,Total,Total,White,Total,2019,3255,W,49009,3003511,5.6
Maryland,Wholesale trade,Female,Total,White,Total,2019,357,U,3619,299487,23.7
Maryland,Wholesale trade,Male,Total,White,Total,2019,2407,W,41463,2441036,8.7
Maryland,Wholesale trade,Equally male/female,Total,White,Total,2019,492,U,3927,262987,24.2
Maryland,Wholesale trade,Total,Hispanic,White,Total,2019,69,T,795,45525,43.6
Maryland,Wholesale trade,Female,Hispanic,White,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Hispanic,White,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Wholesale trade,Equally male/female,Hispanic,White,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Total,Equally Hispanic/non-Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Male,Equally Hispanic/non-Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Equally male/female,Equally Hispanic/non-Hispanic,White,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,White,Total,2019,3183,W,48143,2954109,6
Maryland,Wholesale trade,Female,Non-Hispanic,White,Total,2019,351,U,3436,290630,24.6
Maryland,Wholesale trade,Male,Non-Hispanic,White,Total,2019,2359,W,40988,2416639,8.9
Maryland,Wholesale trade,Equally male/female,Non-Hispanic,White,Total,2019,475,U,3719,246840,24.8
Maryland,Wholesale trade,Total,Total,Black or African American,Total,2019,94,R,610,36425,21.8
Maryland,Wholesale trade,Female,Total,Black or African American,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Total,Black or African American,Total,2019,71,R,489,27109,31.8
Maryland,Wholesale trade,Total,Hispanic,Black or African American,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Female,Hispanic,Black or African American,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Hispanic,Black or African American,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,Black or African American,Total,2019,84,R,589,35812,20.9
Maryland,Wholesale trade,Female,Non-Hispanic,Black or African American,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Non-Hispanic,Black or African American,Total,2019,66,R,473,26699,28
Maryland,Wholesale trade,Total,Total,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Total,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Non-Hispanic,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Total,Asian,Total,2019,432,U,3254,165279,15.4
Maryland,Wholesale trade,Female,Total,Asian,Total,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Male,Total,Asian,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Total,Asian,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Non-Hispanic,Asian,Total,2019,432,U,3254,165279,15.4
Maryland,Wholesale trade,Female,Non-Hispanic,Asian,Total,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Male,Non-Hispanic,Asian,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Non-Hispanic,Asian,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Total,Minority,Total,2019,597,U,4679,247963,13.4
Maryland,Wholesale trade,Female,Total,Minority,Total,2019,151,R,1181,53820,42.5
Maryland,Wholesale trade,Male,Total,Minority,Total,2019,327,U,2150,118257,29.9
Maryland,Wholesale trade,Equally male/female,Total,Minority,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Total,Equally minority/nonminority,Total,2019,68,R,326,19052,51.5
Maryland,Wholesale trade,Male,Total,Equally minority/nonminority,Total,2019,62,R,311,18682,58.7
Maryland,Wholesale trade,Equally male/female,Total,Equally minority/nonminority,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Total,Nonminority,Total,2019,3151,W,47963,2947388,6.1
Maryland,Wholesale trade,Female,Total,Nonminority,Total,2019,347,U,3395,286969,24.9
Maryland,Wholesale trade,Male,Total,Nonminority,Total,2019,2329,W,40849,2413579,8.9
Maryland,Wholesale trade,Equally male/female,Total,Nonminority,Total,2019,475,U,3719,246840,24.8
Maryland,Wholesale trade,Total,Total,Total,Veteran,2019,194,T,1527,91503,45.6
Maryland,Wholesale trade,Female,Total,Total,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Total,Total,Veteran,2019,193,T,1527,91457,45.9
Maryland,Wholesale trade,Total,Hispanic,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Male,Hispanic,Total,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,Total,Veteran,2019,183,T,1479,89065,48.4
Maryland,Wholesale trade,Female,Non-Hispanic,Total,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Non-Hispanic,Total,Veteran,2019,182,T,1479,89019,48.7
Maryland,Wholesale trade,Total,Total,White,Veteran,2019,189,T,1511,91092,48
Maryland,Wholesale trade,Female,Total,White,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Total,White,Veteran,2019,188,T,1511,91046,48.2
Maryland,Wholesale trade,Total,Hispanic,White,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,White,Veteran,2019,183,T,1479,89065,48.4
Maryland,Wholesale trade,Total,Total,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Total,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Hispanic,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Total,Minority,Veteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Total,Total,Nonminority,Veteran,2019,183,T,1479,89065,48.4
Maryland,Wholesale trade,Total,Total,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Male,Total,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Total,Total,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Total,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Male,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Total,Total,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Male,Total,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Total,White,Equally veteran/nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Total,Non-Hispanic,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Total,Equally minority/nonminority,Equally veteran/nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Total,Total,Nonminority,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Total,Total,Nonveteran,2019,3447,W,49372,2986777,3.6
Maryland,Wholesale trade,Female,Total,Total,Nonveteran,2019,496,U,4576,340743,18.1
Maryland,Wholesale trade,Male,Total,Total,Nonveteran,2019,2431,W,40477,2384280,5.9
Maryland,Wholesale trade,Equally male/female,Total,Total,Nonveteran,2019,520,U,4319,261754,19.9
Maryland,Wholesale trade,Total,Hispanic,Total,Nonveteran,2019,68,T,768,43700,46.4
Maryland,Wholesale trade,Female,Hispanic,Total,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Hispanic,Total,Nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,Wholesale trade,Equally male/female,Hispanic,Total,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Total,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Male,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Equally male/female,Equally Hispanic/non-Hispanic,Total,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,Total,Nonveteran,2019,3374,W,48531,2939112,3.8
Maryland,Wholesale trade,Female,Non-Hispanic,Total,Nonveteran,2019,485,U,4388,331683,18.2
Maryland,Wholesale trade,Male,Non-Hispanic,Total,Nonveteran,2019,2389,W,40033,2361910,5.9
Maryland,Wholesale trade,Equally male/female,Non-Hispanic,Total,Nonveteran,2019,502,U,4110,245518,21.7
Maryland,Wholesale trade,Total,Total,White,Nonveteran,2019,2890,W,45429,2776295,5.3
Maryland,Wholesale trade,Female,Total,White,Nonveteran,2019,356,U,3619,299441,23.8
Maryland,Wholesale trade,Male,Total,White,Nonveteran,2019,2124,W,38646,2275209,6.4
Maryland,Wholesale trade,Equally male/female,Total,White,Nonveteran,2019,410,U,3163,201645,24.4
Maryland,Wholesale trade,Total,Hispanic,White,Nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Total,Equally Hispanic/non-Hispanic,White,Nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,White,Nonveteran,2019,2824,W,44595,2728921,5.7
Maryland,Wholesale trade,Total,Total,Black or African American,Nonveteran,2019,89,R,594,36015,19.6
Maryland,Wholesale trade,Female,Total,Black or African American,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Male,Total,Black or African American,Nonveteran,2019,66,R,473,26699,28
Maryland,Wholesale trade,Total,Hispanic,Black or African American,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,Black or African American,Nonveteran,2019,84,R,589,35812,20.9
Maryland,Wholesale trade,Total,Total,American Indian and Alaska Native,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Male,Total,American Indian and Alaska Native,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Non-Hispanic,American Indian and Alaska Native,Nonveteran,2019,D,D,0 to 19 employees,D,D
Maryland,Wholesale trade,Total,Total,Asian,Nonveteran,2019,432,U,3254,165279,15.4
Maryland,Wholesale trade,Female,Total,Asian,Nonveteran,2019,S,S,500 to 999 employees,S,S
Maryland,Wholesale trade,Male,Total,Asian,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Equally male/female,Total,Asian,Nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Wholesale trade,Total,Non-Hispanic,Asian,Nonveteran,2019,432,U,3254,165279,15.4
Maryland,Wholesale trade,Total,Total,Minority,Nonveteran,2019,586,U,4631,245525,13.6
Maryland,Wholesale trade,Total,Total,Equally minority/nonminority,Nonveteran,2019,D,D,100 to 249 employees,D,D
Maryland,Wholesale trade,Total,Total,Nonminority,Nonveteran,2019,2822,W,44554,2725260,5.7
Maryland,Wholesale trade,Classifiable,Classifiable,Classifiable,Classifiable,2019,3817,W,52968,3214403,4
Maryland,Wholesale trade,Unclassifiable,Unclassifiable,Unclassifiable,Unclassifiable,2019,518,W,42949,3528933,24.8
Maryland,Retail trade,Total,Total,Total,Total,2019,10653,W,272216,7855330,5.5
Maryland,Retail trade,Female,Total,Total,Total,2019,2603,U,13162,312844,16.9
Maryland,Retail trade,Male,Total,Total,Total,2019,5739,W,75298,2666957,11.9
Maryland,Retail trade,Equally male/female,Total,Total,Total,2019,1839,U,11889,353498,16
Maryland,Retail trade,Total,Hispanic,Total,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Retail trade,Female,Hispanic,Total,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Male,Hispanic,Total,Total,2019,S,S,20 to 99 employees,S,S
Maryland,Retail trade,Equally male/female,Hispanic,Total,Total,2019,S,S,100 to 249 employees,S,S
Maryland,Retail trade,Total,Equally Hispanic/non-Hispanic,Total,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,Total,Total,2019,10040,W,99999,3321042,6.1
Maryland,Retail trade,Female,Non-Hispanic,Total,Total,2019,2569,U,13071,311406,16.2
Maryland,Retail trade,Male,Non-Hispanic,Total,Total,2019,5700,W,75231,2661946,12.4
Maryland,Retail trade,Equally male/female,Non-Hispanic,Total,Total,2019,1769,U,11697,347690,17.5
Maryland,Retail trade,Total,Total,White,Total,2019,6648,W,81051,2890996,6.5
Maryland,Retail trade,Female,Total,White,Total,2019,1385,U,7048,192142,16.8
Maryland,Retail trade,Male,Total,White,Total,2019,4056,W,65225,2412985,15.6
Maryland,Retail trade,Equally male/female,Total,White,Total,2019,1206,U,8777,285869,20.1
Maryland,Retail trade,Total,Hispanic,White,Total,2019,S,S,250 to 499 employees,S,S
Maryland,Retail trade,Female,Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Male,Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Equally male/female,Hispanic,White,Total,2019,S,S,100 to 249 employees,S,S
Maryland,Retail trade,Total,Equally Hispanic/non-Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Equally male/female,Equally Hispanic/non-Hispanic,White,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,White,Total,2019,6507,W,80701,2878841,7.7
Maryland,Retail trade,Female,Non-Hispanic,White,Total,2019,1352,U,6957,190795,16.6
Maryland,Retail trade,Male,Non-Hispanic,White,Total,2019,4019,W,65158,2407984,16.5
Maryland,Retail trade,Equally male/female,Non-Hispanic,White,Total,2019,1137,U,8586,280061,21.1
Maryland,Retail trade,Total,Total,Black or African American,Total,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Retail trade,Female,Total,Black or African American,Total,2019,S,S,500 to 999 employees,S,S
Maryland,Retail trade,Male,Total,Black or African American,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Equally male/female,Total,Black or African American,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Hispanic,Black or African American,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Female,Hispanic,Black or African American,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,Black or African American,Total,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Retail trade,Female,Non-Hispanic,Black or African American,Total,2019,D,D,500 to 999 employees,D,D
Maryland,Retail trade,Male,Non-Hispanic,Black or African American,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Equally male/female,Non-Hispanic,Black or African American,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Total,American Indian and Alaska Native,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Retail trade,Female,Total,American Indian and Alaska Native,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Retail trade,Male,Total,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,American Indian and Alaska Native,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Retail trade,Female,Non-Hispanic,American Indian and Alaska Native,Total,2019,D,D,100 to 249 employees,D,D
Maryland,Retail trade,Male,Non-Hispanic,American Indian and Alaska Native,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Total,Asian,Total,2019,3202,U,16324,353554,12.4
Maryland,Retail trade,Female,Total,Asian,Total,2019,993,U,5090,104131,25
Maryland,Retail trade,Male,Total,Asian,Total,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Retail trade,Equally male/female,Total,Asian,Total,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Retail trade,Total,Hispanic,Asian,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Male,Hispanic,Asian,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,Asian,Total,2019,3201,U,16324,353544,12.4
Maryland,Retail trade,Female,Non-Hispanic,Asian,Total,2019,993,U,5090,104131,25
Maryland,Retail trade,Male,Non-Hispanic,Asian,Total,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Retail trade,Equally male/female,Non-Hispanic,Asian,Total,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Retail trade,Total,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Male,Total,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Male,Non-Hispanic,Native Hawaiian and Other Pacific Islander,Total,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Total,Total,Minority,Total,2019,3744,W,19695,455870,13.6
Maryland,Retail trade,Female,Total,Minority,Total,2019,1263,U,6228,122852,25.4
Maryland,Retail trade,Male,Total,Minority,Total,2019,1779,U,10230,262623,20.3
Maryland,Retail trade,Equally male/female,Total,Minority,Total,2019,S,S,"2,500 to 4,999 employees",S,S
Maryland,Retail trade,Total,Total,Equally minority/nonminority,Total,2019,D,D,250 to 499 employees,D,D
Maryland,Retail trade,Male,Total,Equally minority/nonminority,Total,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Equally male/female,Total,Equally minority/nonminority,Total,2019,D,D,250 to 499 employees,D,D
Maryland,Retail trade,Total,Total,Nonminority,Total,2019,6387,W,80250,2859864,7.7
Maryland,Retail trade,Female,Total,Nonminority,Total,2019,1340,U,6934,189992,16
Maryland,Retail trade,Male,Total,Nonminority,Total,2019,3958,W,65068,2404296,16.8
Maryland,Retail trade,Equally male/female,Total,Nonminority,Total,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Retail trade,Total,Total,Total,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Female,Total,Total,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Male,Total,Total,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Total,Non-Hispanic,Total,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Female,Non-Hispanic,Total,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Male,Non-Hispanic,Total,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Total,Total,White,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Male,Total,White,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Total,Non-Hispanic,White,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Total,Total,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Female,Total,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Male,Total,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Non-Hispanic,Black or African American,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Total,Minority,Veteran,2019,D,D,0 to 19 employees,D,D
Maryland,Retail trade,Total,Total,Nonminority,Veteran,2019,S,S,"10,000 to 24,999 employees",S,S
Maryland,Retail trade,Total,Total,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Male,Total,Total,Equally veteran/nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,Retail trade,Equally male/female,Total,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Total,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Male,Non-Hispanic,Total,Equally veteran/nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,Retail trade,Equally male/female,Non-Hispanic,Total,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Total,Total,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Male,Total,White,Equally veteran/nonveteran,2019,D,D,250 to 499 employees,D,D
Maryland,Retail trade,Equally male/female,Total,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Total,Non-Hispanic,White,Equally veteran/nonveteran,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Retail trade,Total,Total,Black or African American,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D,D
Maryland,Retail trade,Equally male/female,Total,Black or African American,Equally veteran/nonveteran,2019,D,D,20 to 99 employees,D,D
