Geographical area,Industry,Race/ ethinicity,Ethnicity,Year,Employees
Maryland,All NAICS Sectors,Black or African American Alone,All Ethnicities,2021,469115
Maryland,All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2021,14798
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2017,3880
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2017,62
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2017,2165
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2017,42
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2017,1649
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2017,11
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,All Ethnicities,2017,11316
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,Hispanic or Latino,2017,608
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,All Ethnicities,2017,5482
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2017,435
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2017,4746
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2017,91
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2017,713
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2017,19
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2017,551
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2017,16
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2017,101
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2017,1328
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2017,48
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2017,927
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2017,37
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2017,240
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2017,5
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2017,33453
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2017,1323
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2017,21871
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2017,992
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2017,5555
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2017,146
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2017,18200
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2017,776
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2017,12846
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2017,602
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2017,3524
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2017,100
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,All Ethnicities,2017,12216
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2017,441
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2017,9352
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2017,361
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2017,1470
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2017,32
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2017,5909
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2017,245
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2017,4783
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2017,182
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2017,730
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2017,32
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,All Ethnicities,2017,1194
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,Hispanic or Latino,2017,63
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,All Ethnicities,2017,928
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2017,51
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2017,174
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2017,4
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2017,333
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2017,10
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2017,242
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2017,5
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2017,76
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,All Ethnicities,2017,1024661
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,Hispanic or Latino,2017,59940
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,All Ethnicities,2017,656449
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2017,46482
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2017,279595
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2017,6280
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2018,4064
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2018,67
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2018,2289
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2018,46
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2018,1698
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2018,12
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,All Ethnicities,2018,13315
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,Hispanic or Latino,2018,854
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,All Ethnicities,2018,6257
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2018,613
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2018,5762
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2018,129
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2018,476
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2018,16
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2018,362
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2018,13
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2018,89
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2018,1086
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2018,35
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2018,764
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2018,28
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2018,177
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2018,3
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2018,34338
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2018,1424
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2018,22369
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2018,1059
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2018,5840
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2018,150
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2018,18868
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2018,851
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2018,13237
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2018,663
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2018,3726
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2018,101
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,All Ethnicities,2018,12597
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2018,488
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2018,9595
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2018,394
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2018,1511
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2018,37
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2018,5994
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2018,244
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2018,4897
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2018,186
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2018,705
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2018,27
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,All Ethnicities,2018,1209
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,Hispanic or Latino,2018,63
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,All Ethnicities,2018,917
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2018,51
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2018,190
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2018,5
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2018,287
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2018,8
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2018,225
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2018,5
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2018,47
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,All Ethnicities,2018,1028179
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,Hispanic or Latino,2018,62206
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,All Ethnicities,2018,653993
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2018,48342
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2018,283287
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2018,6486
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2019,4446
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2019,77
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2019,2455
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2019,47
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2019,1898
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2019,17
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,All Ethnicities,2019,14555
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,Hispanic or Latino,2019,981
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,All Ethnicities,2019,5685
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2019,691
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2019,7645
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2019,164
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2019,473
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2019,14
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2019,355
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2019,12
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2019,96
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2019,1216
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2019,36
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2019,849
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2019,28
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2019,210
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2019,3
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2019,36755
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2019,1544
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2019,24067
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2019,1152
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2019,6429
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2019,164
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2019,19820
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2019,907
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2019,13804
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2019,716
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2019,3947
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2019,96
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,All Ethnicities,2019,13588
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2019,560
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2019,10173
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2019,454
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2019,1731
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2019,45
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2019,6157
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2019,279
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2019,4986
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2019,221
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2019,751
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2019,26
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,All Ethnicities,2019,1163
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,Hispanic or Latino,2019,67
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,All Ethnicities,2019,898
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2019,51
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2019,168
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2019,7
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2019,256
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,Hispanic or Latino,2019,6
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,All Ethnicities,2019,212
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",White Alone,Hispanic or Latino,2019,3
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",Black or African American Alone,All Ethnicities,2019,34
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,All Ethnicities,2019,1043508
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,Hispanic or Latino,2019,65664
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,All Ethnicities,2019,660313
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,White Alone,Hispanic or Latino,2019,51164
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,All Ethnicities,2019,289034
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,Black or African American Alone,Hispanic or Latino,2019,6803
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,All Ethnicities,2020,955188
"Baltimore-Columbia-Towson, MD",All NAICS Sectors,All Races,Hispanic or Latino,2020,62188
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,All Ethnicities,2020,3807
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,All Races,Hispanic or Latino,2020,71
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,All Ethnicities,2020,2047
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,White Alone,Hispanic or Latino,2020,39
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2020,1673
"Baltimore-Columbia-Towson, MD",Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2020,22
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,All Ethnicities,2020,18391
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,All Races,Hispanic or Latino,2020,1385
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,All Ethnicities,2020,7399
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,White Alone,Hispanic or Latino,2020,1006
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,All Ethnicities,2020,9235
"Baltimore-Columbia-Towson, MD",Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2020,210
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2020,468
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2020,16
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2020,354
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2020,13
"Baltimore-Columbia-Towson, MD","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2020,91
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2020,966
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2020,37
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2020,674
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2020,28
"Baltimore-Columbia-Towson, MD","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2020,167
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,All Ethnicities,2020,36986
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,All Races,Hispanic or Latino,2020,1637
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,All Ethnicities,2020,24094
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2020,1221
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2020,6549
"Baltimore-Columbia-Towson, MD",Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2020,176
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2020,20279
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2020,985
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2020,13920
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",White Alone,Hispanic or Latino,2020,775
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,All Ethnicities,2020,4110
"Baltimore-Columbia-Towson, MD","Management, Scientific, and Technical Consulting Services",Black or African American Alone,Hispanic or Latino,2020,98
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,All Ethnicities,2020,14556
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,All Races,Hispanic or Latino,2020,622
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,All Ethnicities,2020,10681
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,White Alone,Hispanic or Latino,2020,497
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,All Ethnicities,2020,1945
"Baltimore-Columbia-Towson, MD",Scientific Research and Development Services,Black or African American Alone,Hispanic or Latino,2020,52
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,All Ethnicities,2020,5934
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",All Races,Hispanic or Latino,2020,277
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,All Ethnicities,2020,4800
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",White Alone,Hispanic or Latino,2020,214
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,All Ethnicities,2020,722
"Baltimore-Columbia-Towson, MD","Other Professional, Scientific, and Technical Services",Black or African American Alone,Hispanic or Latino,2020,32
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,All Ethnicities,2020,340
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,All Races,Hispanic or Latino,2020,15
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,All Ethnicities,2020,278
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,White Alone,Hispanic or Latino,2020,11
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,All Ethnicities,2020,39
"Baltimore-Columbia-Towson, MD",Performing Arts Companies,Black or African American Alone,Hispanic or Latino,2020,
"Baltimore-Columbia-Towson, MD","Independent Artists, Writers, and Performers",All Races,All Ethnicities,2020,159
